controller,value,date,time
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,0,2020-10-31,14:42:31
BLOWER,1,2020-10-31,14:48:31
BLOWER,0,2020-10-31,15:00:31
BLOWER,1,2020-10-31,15:10:31
BLOWER,0,2020-10-31,15:15:31
BLOWER,1,2020-11-01,08:41:01
BLOWER,0,2020-11-01,08:44:01
BLOWER,1,2020-11-01,08:54:31
BLOWER,0,2020-11-01,09:16:01
BLOWER,1,2020-11-01,09:17:01
BLOWER,0,2020-11-01,09:37:31
BLOWER,1,2020-11-01,09:47:01
BLOWER,0,2020-11-01,09:57:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,1,2020-11-01,10:04:31
BLOWER,0,2020-11-01,11:34:01
BLOWER,0,2020-11-01,11:34:01
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,1,2020-11-01,11:34:31
BLOWER,0,2020-11-01,12:03:01
BLOWER,1,2020-11-01,12:03:31
BLOWER,1,2020-11-01,12:03:31
BLOWER,1,2020-11-01,12:03:31
BLOWER,0,2020-11-01,12:19:31
BLOWER,1,2020-11-01,12:20:01
BLOWER,0,2020-11-01,12:21:01
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,1,2020-11-01,12:23:31
BLOWER,0,2020-11-01,16:22:01
BLOWER,1,2020-11-01,16:25:01
BLOWER,0,2020-11-01,16:28:01
BLOWER,1,2020-11-02,08:54:31
